John
William
James
Charles
George
Frank
Joseph
Thomas
Henry
Robert
Edward
Harry
Walter
Arthur
Fred
Elizabeth
Minnie
Margaret
Ida
Alice
Bertha
Sarah
Annie
Clara
Ella
Florence
Cora
Martha
Laura
Nellie
Aiguo
Bai
Bao	
Baozhai
Bingwen
Biyu
Bohai
Changchang
Changming
Changpu
Changying
Chao
Chaoxiang
Cheng	
Chenglei
Dongmei
Lee
Liang
Minzhe
Anezka
Bojan
Bojek
Bohuslav
Bohumir
Bogdashka
Branislav
Bronek
Ctislav
Dobromir
Dusanek
Marjeta
Adele
Agustine
Adrian
Ailsa
Alphonso
Botulf
Christoffer
Clarimond
Clarimonda
Clementine
Clementina
Mychajlo
Danylko
Dymtrus
Matviyko
Vasyklo
Trigve
Trigve
Freya
Finn
Disa
Akiko
Asuka
Asami
Fumiko
Hiroshi
Hotaru
Kameko
Katsumi
Katashi
Komako
Masanori
Mihoko
Misaki
Nanako
Osamu
Antonino
Benedetta
Benedetto
Beniamino
Constansie
Constantina
Damiano
DiAngelo
Donatello
Eduardo
Edmondo
Elizabetta
Fabrizio
Faust
Fausta
Giovani
Giorgio
Giuseppe
Guglielmo
Julietta
Juliet
Leonardo
Michelangelo
Dmitri
Fyodor
Gavrilovich
Ivan
Ilya
Irina
Konstantine
Leonide
Lev
Maxim
Misha
Choon-Hee
Chung-Ho
Duck-Hwan
Eun-Kyung
Hak-Kun
Kyong
Kyung
Abebe
Abayomi
David
Ariel
Noam
Yosef
Uri
Ori
Eitan
Daniel
Yehuda
Moshe
Raphael
Aharon
Itai
Yehonatan
Yisrael
Abraham
Shmuel
Omer
Michael
Itamar
Yaakov
Eliya
Yair
Yitzchak
Yonatan
Ido
Meir
Mordechai
Menachem
Eliyahu
Maor
Omri
Natan
Eviatar
Lior
Uriel
Shalom
Nachman
Maayan
Eliezer
Ofek
Dvir
Asaf
Pinchas 
Yehoshua 
Gal
Bar
Uriah
Ron
Peleg
